iteration,max_value,screened_compositions
1,1.6287012100607678,"['Cu-0.01-Ag-0.04-In-0.95', 'Cu-0.21-Ag-0.16-Pb-0.63', 'Cu-0.89-Ag-0.05-Sn-0.06', 'Cu-0.50-Ag-0.03-Sn-0.47', 'Cu-0.17-Ag-0.72-Sn-0.11', 'Cu-0.53-Ag-0.05-In-0.42']"
2,1.6287012100607678,"['Cu-0.01-Pd-0.04-In-0.95', 'Cu-0.01-Pd-0.01-In-0.98', 'Cu-0.01-Pd-0.02-In-0.97', 'Cu-0.04-Pd-0.01-In-0.95', 'Cu-0.03-Pd-0.02-In-0.95', 'Cu-0.01-Pd-0.03-In-0.96']"
3,1.7791667878069721,"['Cu-0.50-Ag-0.03-In-0.47', 'Cu-0.50-Ag-0.02-In-0.48', 'Cu-0.51-Ag-0.02-In-0.47', 'Cu-0.50-Ag-0.03-Cd-0.47', 'Cu-0.50-Ag-0.02-Cd-0.48', 'Cu-0.51-Ag-0.02-Cd-0.47']"
4,1.7791667878069721,"['Cu-0.51-Ru-0.03-In-0.46', 'Cu-0.52-Ru-0.03-In-0.45', 'Cu-0.53-Ru-0.03-In-0.44', 'Cu-0.54-Ru-0.03-In-0.43', 'Cu-0.55-Ru-0.03-In-0.42', 'Cu-0.54-Ru-0.04-In-0.42']"
5,1.7791667878069721,"['Cu-0.05-Ag-0.27-Pb-0.68', 'Cu-0.06-Ag-0.29-Pb-0.65', 'Cu-0.07-Ag-0.22-Pb-0.71', 'Cu-0.11-Ag-0.19-Pb-0.70', 'Cu-0.05-Ag-0.22-Pb-0.73', 'Cu-0.07-Ag-0.27-Pb-0.66']"
6,1.7791667878069721,"['Cu-0.35-Ag-0.18-Cd-0.47', 'Cu-0.36-Ag-0.17-Cd-0.47', 'Cu-0.37-Ag-0.16-Cd-0.47', 'Cu-0.35-Ag-0.18-In-0.47', 'Cu-0.36-Ag-0.17-In-0.47', 'Cu-0.37-Ag-0.16-In-0.47']"
7,1.7791667878069721,"['Cu-0.51-Pd-0.49', 'Ni-0.50-Cu-0.01-Ru-0.49', 'Ni-0.50-Cu-0.01-Sn-0.49', 'Cu-0.52-Pd-0.48', 'Cu-0.53-Pd-0.47', 'Ni-0.50-Cu-0.02-Ru-0.48']"
8,1.7791667878069721,"['Cu-0.51-Ag-0.01-In-0.48', 'Cu-0.50-Ag-0.02-Sn-0.48', 'Cu-0.50-Ag-0.01-In-0.49', 'Cu-0.51-Ag-0.02-Sn-0.47', 'Cu-0.50-Ag-0.04-Sn-0.46', 'Cu-0.51-Ag-0.03-In-0.46']"
9,1.7791667878069721,"['Pd-0.50-Ag-0.04-Sn-0.46', 'Pd-0.51-Ag-0.04-Sn-0.45', 'Pd-0.51-Ag-0.04-In-0.45', 'Pd-0.50-Ag-0.04-In-0.46', 'Pd-0.51-Ag-0.03-In-0.46', 'Pd-0.51-Ag-0.03-Sn-0.46']"
10,1.8484533518090402,"['Cu-0.52-Ag-0.01-In-0.47', 'Cu-0.52-Ag-0.01-Cd-0.47', 'Cu-0.52-Ag-0.01-Sn-0.47', 'Cu-0.50-In-0.01-Sn-0.49', 'Cu-0.98-Ag-0.02', 'Cu-0.99-Ag-0.01']"
11,1.8484533518090402,"['Cu-0.97-Ag-0.03', 'Zn-0.50-Pd-0.02-Ag-0.48', 'Zn-0.50-Pd-0.01-Ag-0.49', 'Zn-0.50-Pd-0.02-Sn-0.48', 'Zn-0.51-Pd-0.01-Ag-0.48', 'Zn-0.50-Pd-0.01-Sn-0.49']"
12,1.8484533518090402,"['Cu-0.96-Ag-0.04', 'Cu-0.91-Pd-0.09', 'Cu-0.86-Pd-0.14', 'Cu-0.93-Pd-0.07', 'Cu-0.85-Pd-0.15', 'Cu-0.95-Pd-0.05']"
