iteration,max_value,screened_compositions
0,1.6287012100607678,"['Cu-0.57-Pd-0.34-Cd-0.09', 'Cu-0.43-Pd-0.32-Au-0.25', 'Cu-0.09-Pd-0.75-Ag-0.16', 'Cu-0.18-Pd-0.03-Au-0.79', 'Cu-0.42-Pd-0.39-Ag-0.19', 'Cu-0.28-Pd-0.21-Ag-0.51', 'Cu-0.19-Pd-0.29-Au-0.52', 'Cu-0.18-Pd-0.61-Cd-0.21', 'Cu-0.87-Pd-0.06-Cd-0.07', 'Cu-0.64-Pd-0.15-Pb-0.21', 'Cu-0.84-Pd-0.13-Pb-0.03', 'Cu-0.36-Pd-0.04-Sn-0.60', 'Cu-0.09-Pd-0.48-In-0.43', 'Cu-0.47-Pd-0.20-Sn-0.33', 'Cu-0.68-Pd-0.10-Cd-0.22', 'Cu-0.44-Pd-0.23-Cd-0.33', 'Cu-0.29-Pd-0.01-In-0.70', 'Cu-0.58-Pd-0.04-In-0.38', 'Cu-0.79-Pd-0.01-In-0.20', 'Cu-0.20-Pd-0.03-Cd-0.77', 'Cu-0.29-Pd-0.19-Sn-0.52', 'Cu-0.87-Pd-0.09-Sn-0.04', 'Cu-0.50-Pd-0.16-Sn-0.34', 'Cu-0.81-Pd-0.05-Au-0.14', 'Cu-0.15-Pd-0.51-Sn-0.34', 'Cu-0.60-Pd-0.05-Sn-0.35', 'Cu-0.02-Pd-0.46-Au-0.52', 'Cu-0.32-Pd-0.12-Cd-0.56', 'Cu-0.49-Pd-0.26-Ag-0.25', 'Cu-0.12-Pd-0.40-Au-0.48']"
1,1.6287012100607678,"['Cu-0.60-Ag-0.40', 'Cu-0.58-Ag-0.42', 'Cu-0.59-Ag-0.41', 'Cu-0.44-Ag-0.01-Pb-0.55', 'Cu-0.44-Ag-0.02-Pb-0.54', 'Cu-0.44-Ag-0.03-Pb-0.53', 'Cu-0.45-Ag-0.01-Pb-0.54', 'Cu-0.45-Ag-0.02-Pb-0.53', 'Cu-0.45-Ag-0.03-Pb-0.52', 'Cu-0.46-Ag-0.01-Pb-0.53', 'Cu-0.46-Ag-0.02-Pb-0.52', 'Cu-0.46-Ag-0.03-Pb-0.51', 'Cu-0.44-Ag-0.04-Pb-0.52', 'Cu-0.45-Ag-0.04-Pb-0.51', 'Cu-0.46-Ag-0.04-Pb-0.50', 'Cu-0.44-Ag-0.05-Pb-0.51', 'Cu-0.45-Ag-0.05-Pb-0.50', 'Cu-0.46-Ag-0.05-Pb-0.49', 'Cu-0.48-Ag-0.49-Pb-0.03', 'Cu-0.42-Ag-0.01-Pb-0.57', 'Cu-0.42-Ag-0.02-Pb-0.56', 'Cu-0.42-Ag-0.03-Pb-0.55', 'Cu-0.42-Ag-0.04-Pb-0.54', 'Cu-0.57-Ag-0.43', 'Cu-0.42-Ag-0.05-Pb-0.53', 'Cu-0.55-Ag-0.45', 'Cu-0.56-Ag-0.44', 'Cu-0.53-Ag-0.47', 'Cu-0.54-Ag-0.46', 'Cu-0.63-Ag-0.37']"
2,1.6287012100607678,"['Cu-0.49-Sn-0.51', 'Cu-0.47-Sn-0.53', 'Cu-0.48-Sn-0.52', 'Cu-0.46-Sn-0.54', 'Cu-0.45-Sn-0.55', 'Cu-0.47-Sn-0.51-Au-0.02', 'Cu-0.47-Sn-0.52-Au-0.01', 'Cu-0.48-Sn-0.51-Au-0.01', 'Cu-0.46-Sn-0.52-Au-0.02', 'Cu-0.46-Sn-0.53-Au-0.01', 'Cu-0.49-Cd-0.51', 'Cu-0.44-Sn-0.56', 'Cu-0.42-Sn-0.58', 'Cu-0.43-Sn-0.57', 'Cu-0.36-Sn-0.64', 'Cu-0.37-Sn-0.63', 'Cu-0.38-Sn-0.62', 'Cu-0.39-Sn-0.61', 'Cu-0.40-Sn-0.60', 'Cu-0.41-Sn-0.59', 'Cu-0.45-Sn-0.53-Au-0.02', 'Cu-0.45-Sn-0.54-Au-0.01', 'Cu-0.32-Sn-0.68', 'Cu-0.33-Sn-0.67', 'Cu-0.34-Sn-0.66', 'Cu-0.35-Sn-0.65', 'Cu-0.48-Sn-0.50-Au-0.02', 'Cu-0.49-Sn-0.50-Au-0.01', 'Cu-0.49-Cd-0.48-Au-0.03', 'Cu-0.47-Sn-0.52-Pb-0.01']"
3,1.6287012100607678,"['Cu-0.51-Pd-0.49', 'Cu-0.52-Pd-0.48', 'Cu-0.54-Pd-0.46', 'Cu-0.53-Pd-0.47', 'Cu-0.49-Pd-0.51', 'Cu-0.48-Pd-0.52', 'Cu-0.47-Pd-0.53', 'Cu-0.45-Pd-0.55', 'Cu-0.46-Pd-0.54', 'Cu-0.50-Sn-0.49-Au-0.01', 'Cu-0.55-Pd-0.45', 'Cu-0.50-Ag-0.49-Sn-0.01', 'Cu-0.51-Sn-0.48-Au-0.01', 'Cu-0.52-Sn-0.47-Au-0.01', 'Cu-0.56-Pd-0.44', 'Cu-0.51-Ag-0.48-Sn-0.01', 'Cu-0.58-Pd-0.42', 'Cu-0.57-Pd-0.43', 'Cu-0.44-Pd-0.56', 'Co-0.47-Ru-0.21-In-0.32', 'Co-0.47-Ru-0.22-In-0.31', 'Co-0.47-Ru-0.23-In-0.30', 'Co-0.47-Ru-0.24-In-0.29', 'Co-0.47-Ru-0.25-In-0.28', 'Co-0.43-Ru-0.26-In-0.31', 'Co-0.43-Ru-0.30-In-0.27', 'Co-0.43-Ru-0.29-In-0.28', 'Co-0.43-Ru-0.27-In-0.30', 'Co-0.43-Ru-0.31-In-0.26', 'Co-0.43-Ru-0.28-In-0.29']"
4,1.6287012100607678,"['Pd-0.53-Ag-0.45-Cd-0.02', 'Pd-0.49-Ag-0.27-Cd-0.24', 'Pd-0.49-Ag-0.28-Cd-0.23', 'Pd-0.49-Ag-0.29-Cd-0.22', 'Pd-0.49-Ag-0.30-Cd-0.21', 'Cu-0.50-Ru-0.49-Pb-0.01', 'Pd-0.53-Ag-0.23-Au-0.24', 'Pd-0.53-Ag-0.24-Au-0.23', 'Pd-0.53-Ag-0.25-Au-0.22', 'Pd-0.53-Ag-0.26-Au-0.21', 'Pd-0.53-Ag-0.23-Cd-0.24', 'Pd-0.53-Ag-0.24-Cd-0.23', 'Pd-0.53-Ag-0.25-Cd-0.22', 'Pd-0.53-Ag-0.26-Cd-0.21', 'Pd-0.53-Ag-0.41-Cd-0.06', 'Pd-0.51-Ag-0.47-Sn-0.02', 'Pd-0.49-Ag-0.34-Cd-0.17', 'Pd-0.49-Ag-0.35-Cd-0.16', 'Pd-0.49-Ag-0.31-Cd-0.20', 'Pd-0.49-Ag-0.32-Cd-0.19', 'Pd-0.53-Ag-0.42-Cd-0.05', 'Pd-0.53-Ag-0.43-Cd-0.04', 'Pd-0.51-Ag-0.25-Cd-0.24', 'Pd-0.51-Ag-0.26-Cd-0.23', 'Pd-0.51-Ag-0.27-Cd-0.22', 'Pd-0.51-Ag-0.28-Cd-0.21', 'Pd-0.51-Ag-0.26-Au-0.23', 'Pd-0.51-Ag-0.27-Au-0.22', 'Pd-0.51-Ag-0.28-Au-0.21', 'Pd-0.51-Ag-0.25-Au-0.24']"
5,1.6287012100607678,"['Cu-0.50-Ru-0.49-Cd-0.01', 'Cu-0.50-Ru-0.48-Cd-0.02', 'Cu-0.50-Ru-0.01-Cd-0.49', 'Cu-0.50-Ru-0.02-Cd-0.48', 'Cu-0.50-Ru-0.03-Cd-0.47', 'Cu-0.50-Ru-0.04-Cd-0.46', 'Cu-0.51-Ru-0.47-Cd-0.02', 'Cu-0.51-Ru-0.48-Cd-0.01', 'Cu-0.45-Ru-0.53-Cd-0.02', 'Cu-0.46-Ru-0.53-Cd-0.01', 'Cu-0.48-Ru-0.50-Cd-0.02', 'Cu-0.48-Ru-0.03-Cd-0.49', 'Cu-0.48-Ru-0.04-Cd-0.48', 'Cu-0.48-Ru-0.01-Cd-0.51', 'Cu-0.48-Ru-0.02-Cd-0.50', 'Cu-0.47-Ru-0.02-Cd-0.51', 'Cu-0.47-Ru-0.03-Cd-0.50', 'Cu-0.47-Ru-0.04-Cd-0.49', 'Cu-0.48-Ru-0.50-In-0.02', 'Cu-0.45-Ru-0.04-Cd-0.51', 'Cu-0.46-Ru-0.03-Cd-0.51', 'Cu-0.46-Ru-0.04-Cd-0.50', 'Cu-0.47-Ru-0.52-Cd-0.01', 'Cu-0.49-Ru-0.49-Cd-0.02', 'Cu-0.47-Ru-0.01-Cd-0.52', 'Cu-0.50-Ru-0.48-Sn-0.02', 'Cu-0.45-Ru-0.02-Cd-0.53', 'Cu-0.45-Ru-0.03-Cd-0.52', 'Cu-0.46-Ru-0.02-Cd-0.52', 'Cu-0.46-Ru-0.01-Cd-0.53']"
6,1.6287012100607678,"['Cu-0.49-Ag-0.50-Sn-0.01', 'Cu-0.48-Ag-0.50-Sn-0.02', 'Cu-0.47-Ag-0.51-Sn-0.02', 'Cu-0.48-Ag-0.51-Sn-0.01', 'Cu-0.46-Ag-0.52-Sn-0.02', 'Cu-0.49-Ag-0.50-Cd-0.01', 'Cu-0.47-Ag-0.52-Sn-0.01', 'Cu-0.48-Ag-0.50-Cd-0.02', 'Cu-0.50-Ag-0.48-Sn-0.02', 'Cu-0.45-Ag-0.53-Sn-0.02', 'Cu-0.49-Ag-0.50-Au-0.01', 'Cu-0.47-Ag-0.50-Sn-0.03', 'Cu-0.46-Ag-0.50-Sn-0.04', 'Cu-0.46-Ag-0.53-Sn-0.01', 'Cu-0.45-Ag-0.50-Sn-0.05', 'Cu-0.49-Ag-0.49-Sn-0.02', 'Cu-0.49-Ag-0.50-Pb-0.01', 'Cu-0.47-Ag-0.51-Cd-0.02', 'Cu-0.48-Ag-0.50-Au-0.02', 'Cu-0.45-Ag-0.51-Sn-0.04', 'Cu-0.50-Ag-0.49-Cd-0.01', 'Cu-0.49-Ag-0.51', 'Cu-0.43-Ag-0.50-Sn-0.07', 'Cu-0.46-Ag-0.51-Sn-0.03', 'Cu-0.45-Ag-0.52-Sn-0.03', 'Cu-0.44-Ag-0.50-Sn-0.06', 'Cu-0.50-Ag-0.48-Cd-0.02', 'Cu-0.47-Ag-0.51-Au-0.02', 'Cu-0.48-Ag-0.51-Cd-0.01', 'Cu-0.51-Ag-0.47-Sn-0.02']"
7,1.6287012100607678,"['Cu-0.50-Ag-0.48-In-0.02', 'Cu-0.51-Ag-0.47-In-0.02', 'Cu-0.50-Ag-0.49-In-0.01', 'Cu-0.51-Ag-0.48-In-0.01', 'Cu-0.52-Ag-0.47-In-0.01', 'Cu-0.53-Ag-0.45-In-0.02', 'Cu-0.52-Ag-0.46-In-0.02', 'Cu-0.50-Ag-0.47-In-0.03', 'Cu-0.53-Ag-0.46-In-0.01', 'Cu-0.46-Ag-0.53-In-0.01', 'Cu-0.49-Ag-0.50-In-0.01', 'Cu-0.45-Ag-0.53-In-0.02', 'Cu-0.48-Ag-0.50-In-0.02', 'Cu-0.43-Ag-0.56-Au-0.01', 'Cu-0.53-Ag-0.46-Au-0.01', 'Cu-0.53-Ag-0.46-Pb-0.01', 'Cu-0.50-Pd-0.49-Ag-0.01', 'Cu-0.52-Ag-0.45-In-0.03', 'Cu-0.53-Ag-0.45-Au-0.02', 'Cu-0.50-Ag-0.45-In-0.05', 'Cu-0.49-Ag-0.49-In-0.02', 'Cu-0.53-Sn-0.45-Au-0.02', 'Cu-0.53-Ag-0.45-Pb-0.02', 'Cu-0.45-Ag-0.54-In-0.01', 'Cu-0.51-Ag-0.45-In-0.04', 'Cu-0.54-Ag-0.45-In-0.01', 'Cu-0.42-Ag-0.56-Au-0.02', 'Cu-0.51-Ag-0.47-Pb-0.02', 'Cu-0.53-Sn-0.44-Au-0.03', 'Cu-0.54-Ag-0.44-Au-0.02']"
8,1.9863176646139373,"['Cu-0.49-Pd-0.50-Ag-0.01', 'Cu-0.50-Pd-0.48-Ag-0.02', 'Cu-0.51-Pd-0.48-Ag-0.01', 'Cu-0.48-Pd-0.51-Ag-0.01', 'Cu-0.50-Cd-0.48-Au-0.02', 'Cu-0.49-Pd-0.49-Ag-0.02', 'Cu-0.51-Cd-0.47-Au-0.02', 'Cu-0.52-Pd-0.47-Ag-0.01', 'Cu-0.44-Pd-0.55-Ag-0.01', 'Cu-0.52-Cd-0.46-Au-0.02', 'Cu-0.44-Pd-0.54-Ag-0.02', 'Cu-0.50-Cd-0.49-Au-0.01', 'Cu-0.94-Ag-0.04-In-0.02', 'Cu-0.51-Cd-0.48-Au-0.01', 'Cu-0.95-Ag-0.03-In-0.02', 'Cu-0.48-Cd-0.50-Au-0.02', 'Cu-0.49-Cd-0.49-Au-0.02', 'Cu-0.45-Cd-0.53-Au-0.02', 'Cu-0.51-Cd-0.04-Au-0.45', 'Cu-0.96-Ag-0.02-In-0.02', 'Cu-0.97-Ag-0.01-In-0.02', 'Cu-0.48-Cd-0.49-Au-0.03', 'Cu-0.51-Pd-0.47-Ag-0.02', 'Cu-0.52-Pd-0.46-Ag-0.02', 'Cu-0.53-Cd-0.45-Au-0.02', 'Cu-0.50-Pd-0.49-Au-0.01', 'Cu-0.46-Cd-0.52-Au-0.02', 'Cu-0.94-Ag-0.04-Au-0.02', 'Cu-0.50-Cd-0.04-Au-0.46', 'Cu-0.52-Cd-0.04-Au-0.44']"
9,1.9906149866650933,"['Cu-0.97-Ag-0.02-In-0.01', 'Cu-0.98-Ag-0.01-In-0.01', 'Cu-0.96-Ag-0.03-In-0.01', 'Cu-0.96-Ag-0.01-In-0.03', 'Cu-0.96-Ag-0.02-Au-0.02', 'Cu-0.95-Ag-0.04-In-0.01', 'Cu-0.97-Ag-0.01-Au-0.02', 'Cu-0.97-Ag-0.02-Au-0.01', 'Cu-0.95-Ag-0.02-In-0.03', 'Cu-0.98-Ag-0.01-Au-0.01', 'Cu-0.95-Ag-0.03-Au-0.02', 'Cu-0.96-Ag-0.03-Au-0.01', 'Cu-0.96-Ag-0.02-Sn-0.02', 'Cu-0.97-Ag-0.01-Sn-0.02', 'Cu-0.95-Ag-0.04-Au-0.01', 'Cu-0.93-Ag-0.05-In-0.02', 'Cu-0.90-Ag-0.08-In-0.02', 'Cu-0.91-Ag-0.07-In-0.02', 'Cu-0.92-Ag-0.06-In-0.02', 'Cu-0.95-Ag-0.02-Au-0.03', 'Cu-0.96-Ag-0.01-Au-0.03', 'Cu-0.97-Ag-0.02-Sn-0.01', 'Cu-0.98-Ag-0.01-Sn-0.01', 'Cu-0.94-Ag-0.05-In-0.01', 'Cu-0.91-Ag-0.08-In-0.01', 'Cu-0.92-Ag-0.07-In-0.01', 'Cu-0.93-Ag-0.06-In-0.01', 'Cu-0.89-Ag-0.09-In-0.02', 'Cu-0.88-Ag-0.10-In-0.02', 'Cu-0.87-Ag-0.11-In-0.02']"
